org,category,source,collection_method,ext_id,title,location,department,url,posted_at,captured_at,description
Center for AI Safety,research,lever,api,6e096bf8-3589-48e0-bfd4-7cba55eb91a8,Chief of Staff,"San Francisco, CA",Executive,https://jobs.lever.co/aisafety/6e096bf8-3589-48e0-bfd4-7cba55eb91a8,2026-05-15,2026-06-17T02:14:19Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We address AI's toughest challenges through technical research, field-building initiatives, and policy engagement, along with our sister organization in DC, Center for AI Safety Action Fund.
CAIS operates across six core areas: Research, Publications, Public Engagement, Operations, Special Projects, and Federal, each moving at high speed against the most consequential technology shift of our time. As we scale, an emerging bottleneck is the operating fabric that translates the President's intent into shipped outcomes across the organization.
We're hiring a senior operator to serve as Chief of Staff to the President. This role is the connective tissue between the leadership team. You will run the operating cadence, protect executive attention, drive cross-functional execution, and represent the President internally and externally. You will report to the President."
Center for AI Safety,research,lever,api,02e2df24-49d8-4d99-970f-4f7e98900133,Chief of Staff (Public Engagement),"San Francisco, CA",Public Engagement,https://jobs.lever.co/aisafety/02e2df24-49d8-4d99-970f-4f7e98900133,2026-02-25,2026-06-17T02:14:19Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We address AI’s toughest challenges through technical research, field-building initiatives, and policy engagement, along with our sister organization in DC, Center for AI Safety Action Fund.
 
Public awareness remains the single biggest bottleneck in AI safety. Fortunately, the public's interest in AI safety is growing extremely quickly. Videos, articles, and social posts about AI safety are now reaching millions, and public curiosity is compounding by the week. CAIS is building a public engagement team to harness this surge in public interest and maximize the amount of attention that AI safety receives.
 
We're hiring a highly competent operator to support our Head of Public Engagement. This role will be the operational backbone of the Public Engagement team. You will turn strategy into shipped output—running calendars, workflows, vendors, and metrics so creative and leadership can focus on quality and judgment. You will report to the Head of Public Engagement."
Center for AI Safety,research,lever,api,6c01e3ac-e43a-4186-9a35-a344c1ce1774,Director of Development,"San Francisco, CA",Operations,https://jobs.lever.co/aisafety/6c01e3ac-e43a-4186-9a35-a344c1ce1774,2026-02-02,2026-06-17T02:14:19Z,"The Center for AI Safety (CAIS) is a leading research and field-building organization on a mission to reduce societal-scale risks from AI. Alongside our sister organization, the CAIS Action Fund, we tackle the toughest AI issues with a mix of technical, societal and policy solutions. Our work includes publishing a global statement on AI Risk signed by Geoffrey Hinton, Yoshua Bengio and CEOs from the major AI labs and running a large compute cluster for global academic researchers working on AI safety research. 

The Director of Development plays a critical role in advancing CAIS’s mission by leading strategic fundraising efforts and building meaningful relationships with donors, partners, and stakeholders. This role involves designing and executing innovative fundraising strategies, securing grants, crafting compelling proposals, and organizing high-impact events.  In collaboration with program teams, the Director of Development aligns fundraising initiatives with program goals to maximize CAIS’s impact. In addition, the Director of Development serves as a key representative, cultivating partnerships, exploring strategic alliances, and providing executive leadership with essential updates that support the organization’s growth and success."
Center for AI Safety,research,lever,api,9546f987-0b6a-40d4-b776-03471b898c92,Expression of Interest,"San Francisco, CA",,https://jobs.lever.co/aisafety/9546f987-0b6a-40d4-b776-03471b898c92,2025-08-14,2026-06-17T02:14:19Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We address AI’s toughest challenges through technical research, field-building initiatives, and policy engagement, along with our affiliated organization, the Center for AI Safety Action Fund (CAISAF).

If you’re motivated to advance our mission but don’t see a current opening that matches your background, we invite you to submit an expression of interest. This allows you to share your skills, experience, and ideas for how you might contribute to CAIS. We regularly review these submissions alongside our evolving priorities and may reach out if we see a strong fit.

If you share our commitment to reducing catastrophic risks from AI and have ideas or expertise you could contribute, we'd like to hear from you."
Center for AI Safety,research,lever,api,0c6be5ff-b04e-49eb-92bd-d11c7c81ae6e,Newsletter Editor,"San Francisco, CA",,https://jobs.lever.co/aisafety/0c6be5ff-b04e-49eb-92bd-d11c7c81ae6e,2025-09-24,2026-06-17T02:14:19Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We work to ensure that AI is developed and deployed safely, aligning its impact with the long-term interests of humanity. This means engaging with policymakers, researchers, industry leaders, and the broader public to build awareness and support for measures that can meaningfully reduce AI risk.
 
The AI Safety Newsletter (https://newsletter.safe.ai/) is a clear, concise weekly newsletter covering developments in AI and AI safety for a broad audience—from researchers and policymakers to practitioners and concerned citizens. Recent editions cover policy, governance, industry moves, and notable research. 
 
We’re seeking a Newsletter Editor who keeps up-to-date with AI safety news, can identify the most compelling stories for an AI safety audience, and who writes clearly. Your role will include story selection, drafting, editing, and publishing newsletter issues—while working closely with our team.
 
We are open to full-time or part-time arrangements. We have a preference for candidates based in San Francisco, but we are open to remote candidates, as well."
Center for AI Safety,research,lever,api,f0218805-28e2-4da5-a002-dddb8dfce7fd,Operations Manager,"San Francisco, CA",Operations,https://jobs.lever.co/aisafety/f0218805-28e2-4da5-a002-dddb8dfce7fd,2022-10-07,2026-06-17T02:14:19Z,
Center for AI Safety,research,lever,api,1d294768-31cd-4d00-a238-a3eded93c695,"Principal, Special Projects","San Francisco, CA",Various Teams,https://jobs.lever.co/aisafety/1d294768-31cd-4d00-a238-a3eded93c695,2026-02-27,2026-06-17T02:14:19Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. Some of our past achievements include: releasing the most widely used measure of AI capabilities used by all major AI companies, running a large compute cluster to facilitate AI safety research which has been cited over 16,000 times, and publishing a global statement on AI Risk signed by Geoffrey Hinton, Yoshua Bengio and top AI CEOs.
 
The Role
We’re hiring senior operators to own high-stakes projects and initiatives. You will identify high-impact opportunities, define strategy, and drive execution end-to-end. Above all, we need people who can operate autonomously: someone with the judgment to navigate complex decisions and the track record to be trusted with significant responsibility.
 
The scope is broad by design. Example projects ongoing or prospective include: partnering with the team behind #TeamTrees to run a public campaign on AGI risk, supporting researchers in building benchmarks for deception and weaponization risk, finding ways to engage YouTubers and longform creators on AI safety, and standing up an AI safety hub in New York. What unites these is the need for someone with the judgment and ability to take an ambiguous mandate and turn it into a concrete outcome, without needing to be managed closely.
 
Who We're Looking For
You’ve operated at a high level in fast-moving, high-stakes environments—and have the track record to prove it. Example profiles we're looking for include former startup Founders and COOs—people with both exceptional ability and judgment. Your specific background may look very different."
Center for AI Safety,research,lever,api,0431d90d-82d9-4f82-b89b-ce51974906e7,Program Manager,"San Francisco, CA",Program Manager,https://jobs.lever.co/aisafety/0431d90d-82d9-4f82-b89b-ce51974906e7,2026-01-14,2026-06-17T02:14:19Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We address AI’s toughest challenges through technical research, field-building initiatives, and policy engagement, along with our other organization, Center for AI Safety Action Fund. 
 
We're seeking a highly skilled Program Manager who is excited by our mission to develop and promote the field of AI safety. The ideal candidate will have a strong understanding of project management techniques, such as stakeholder management and project planning, and the ability to adapt to a diverse range of projects. In this role, you will have the opportunity to lead important and impactful projects that are critical to the growth and improvement of the AI safety community, including but not limited to fellowships, workshops, publications, convenings, and policy initiatives.
 
We pride ourselves as being interdisciplinary, and we think this is a unique and exciting opportunity to be on the forefront of this quickly evolving technical field, regardless of previous technical training."
Center for AI Safety,research,lever,api,116247a4-2940-4dce-b7d5-a6190328fd4e,Research Engineer,"San Francisco, CA",Research,https://jobs.lever.co/aisafety/116247a4-2940-4dce-b7d5-a6190328fd4e,2022-10-07,2026-06-17T02:14:19Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We address AI’s toughest challenges through technical research, field-building initiatives, and policy engagement, along with our sister organization, Center for AI Safety Action Fund. 
 
As a Research Engineer here, you'll work at the intersection of cutting-edge ML research and reliable engineering. You'll design and run experiments on large language models, build the tooling needed to train and evaluate models at scale, and turn results into publishable research. You'll collaborate closely with CAIS researchers and external academic and commercial partners, using our compute cluster to run large-scale training and evaluation. The work spans areas like AI honesty, robustness, transparency, and trojan/backdoor behaviors, aimed at reducing real-world risks from advanced AI systems."
Center for AI Safety,research,lever,api,e011814b-9a80-43d6-bb0c-cc153ea4bec4,Research Engineer Intern (Fall 2026),"San Francisco, CA",Research,https://jobs.lever.co/aisafety/e011814b-9a80-43d6-bb0c-cc153ea4bec4,2026-03-05,2026-06-17T02:14:19Z,"Introduction
The Center for AI Safety (CAIS) is a leading research and field-building organization on a mission to reduce societal-scale risks from AI. Alongside our sister organization, the CAIS Action Fund, we tackle the toughest AI issues with a mix of technical, societal and policy solutions. 
 
As a research engineer intern here, you will work very closely with our researchers on projects in areas such as AI security, machine ethics, AI alignment, and benchmarking AI risks. We will assign you a dedicated mentor throughout your internship, but we will ultimately be treating you as a colleague. By this we mean, you will have the opportunity to debate for your own experiments or projects, and defend their impact. You will plan and run experiments, conduct code reviews, and work in a small team to create a publication with outsized impact. You will leverage our internal compute cluster to run experiments at scale on large language models.
 
Timing
This application is for the full-time fall internship position. Applicants must be enrolled in university to be considered. Applications are due by June 15, 2026."
