org,category,source,collection_method,ext_id,title,location,department,url,posted_at,captured_at,description
Center for AI Safety,research,lever,api,6e096bf8-3589-48e0-bfd4-7cba55eb91a8,Chief of Staff,"San Francisco, CA",Executive,https://jobs.lever.co/aisafety/6e096bf8-3589-48e0-bfd4-7cba55eb91a8,2026-05-15,2026-07-20T11:59:28Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We address AI's toughest challenges through technical research, field-building initiatives, and policy engagement, along with our sister organization in DC, Center for AI Safety Action Fund.
CAIS operates across six core areas: Research, Publications, Public Engagement, Operations, Special Projects, and Federal, each moving at high speed against the most consequential technology shift of our time. As we scale, an emerging bottleneck is the operating fabric that translates the President's intent into shipped outcomes across the organization.
We're hiring a senior operator to serve as Chief of Staff to the President. This role is the connective tissue between the leadership team. You will run the operating cadence, protect executive attention, drive cross-functional execution, and represent the President internally and externally. You will report to the President."
Center for AI Safety,research,lever,api,9546f987-0b6a-40d4-b776-03471b898c92,Expression of Interest,"San Francisco, CA",,https://jobs.lever.co/aisafety/9546f987-0b6a-40d4-b776-03471b898c92,2025-08-14,2026-07-20T11:59:28Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We address AI’s toughest challenges through technical research, field-building initiatives, and policy engagement, along with our affiliated organization, the Center for AI Safety Action Fund (CAISAF).
 
If you’re motivated to advance our mission but don’t see a current opening that matches your background, we invite you to submit an expression of interest. This allows you to share your skills, experience, and ideas for how you might contribute to CAIS. We regularly review these submissions alongside our evolving priorities and may reach out if we see a strong fit.
 
If you share our commitment to reducing catastrophic risks from AI and have ideas or expertise you could contribute, we'd like to hear from you."
Center for AI Safety,research,lever,api,1d294768-31cd-4d00-a238-a3eded93c695,"Principal, Special Projects","San Francisco, CA",Special Projects,https://jobs.lever.co/aisafety/1d294768-31cd-4d00-a238-a3eded93c695,2026-02-27,2026-07-20T11:59:28Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. Some of our past achievements include: releasing the most widely used measure of AI capabilities used by all major AI companies, running a large compute cluster to facilitate AI safety research which has been cited over 16,000 times, and publishing a global statement on AI Risk signed by Geoffrey Hinton, Yoshua Bengio and top AI CEOs.
 
The Role
We’re hiring senior operators to own high-stakes projects and initiatives. You will identify high-impact opportunities, define strategy, and drive execution end-to-end. Above all, we need people who can operate autonomously: someone with the judgment to navigate complex decisions and the track record to be trusted with significant responsibility.
 
The scope is broad by design. Example projects ongoing or prospective include: partnering with the team behind #TeamTrees to run a public campaign on AGI risk, supporting researchers in building benchmarks for deception and weaponization risk, finding ways to engage YouTubers and longform creators on AI safety, and standing up an AI safety hub in New York. What unites these is the need for someone with the judgment and ability to take an ambiguous mandate and turn it into a concrete outcome, without needing to be managed closely.
 
Who We're Looking For
You’ve operated at a high level in fast-moving, high-stakes environments—and have the track record to prove it. Example profiles we're looking for include former startup Founders and COOs—people with both exceptional ability and judgment. Your specific background may look very different."
Center for AI Safety,research,lever,api,116247a4-2940-4dce-b7d5-a6190328fd4e,Research Engineer,"San Francisco, CA",Research,https://jobs.lever.co/aisafety/116247a4-2940-4dce-b7d5-a6190328fd4e,2022-10-07,2026-07-20T11:59:28Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We address AI’s toughest challenges through technical research, field-building initiatives, and policy engagement, along with our sister organization, Center for AI Safety Action Fund. 
 
As a Research Engineer here, you'll work at the intersection of cutting-edge ML research and reliable engineering. You'll design and run experiments on large language models, build the tooling needed to train and evaluate models at scale, and turn results into publishable research. You'll collaborate closely with CAIS researchers and external academic and commercial partners, using our compute cluster to run large-scale training and evaluation. The work spans areas like AI honesty, robustness, transparency, and trojan/backdoor behaviors, aimed at reducing real-world risks from advanced AI systems."
Center for AI Safety,research,lever,api,e011814b-9a80-43d6-bb0c-cc153ea4bec4,Research Engineer Intern (Fall 2026),"San Francisco, CA",Research,https://jobs.lever.co/aisafety/e011814b-9a80-43d6-bb0c-cc153ea4bec4,2026-03-05,2026-07-20T11:59:28Z,"Introduction
The Center for AI Safety (CAIS) is a leading research and field-building organization on a mission to reduce societal-scale risks from AI. Alongside our sister organization, the CAIS Action Fund, we tackle the toughest AI issues with a mix of technical, societal and policy solutions. 
 
As a research engineer intern here, you will work very closely with our researchers on projects in areas such as AI security, machine ethics, AI alignment, and benchmarking AI risks. We will assign you a dedicated mentor throughout your internship, but we will ultimately be treating you as a colleague. By this we mean, you will have the opportunity to debate for your own experiments or projects, and defend their impact. You will plan and run experiments, conduct code reviews, and work in a small team to create a publication with outsized impact. You will leverage our internal compute cluster to run experiments at scale on large language models.
 
Timing
This application is for the full-time fall internship position. Applicants must be enrolled in university to be considered. Applications are due by July 31, 2026."
Center for AI Safety,research,lever,api,0e911ab2-89e0-4936-83e6-034f7e2f8977,Research Scientist,"San Francisco, CA",Research,https://jobs.lever.co/aisafety/0e911ab2-89e0-4936-83e6-034f7e2f8977,2023-11-14,2026-07-20T11:59:28Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We address AI’s toughest challenges through technical research, field-building initiatives, and policy engagement, along with our sister organization, Center for AI Safety Action Fund. 
 
As a Research Scientist here, you will lead and execute high-impact research that advances the safety and reliability of frontier AI systems. You'll design and run experiments on large language models, build the tooling needed to train and evaluate models at scale, and turn results into publishable research. You'll collaborate closely with CAIS researchers and external academic and commercial partners, using our compute cluster to run large-scale training and evaluation. The work spans areas like AI honesty, robustness, transparency, and trojan/backdoor behaviors, aimed at reducing real-world risks from advanced AI systems."
Center for AI Safety,research,lever,api,7c960ea7-2aba-4ec6-af72-5676cbf8305e,Social Media & Community Manager,"San Francisco, CA",Public Engagement,https://jobs.lever.co/aisafety/7c960ea7-2aba-4ec6-af72-5676cbf8305e,2026-06-08,2026-07-20T11:59:28Z,"The Center for AI Safety (CAIS) is a leading research and advocacy organization focused on mitigating societal-scale risks from AI. We address AI's toughest challenges through technical research, field-building initiatives, and policy engagement, along with our sister organization in DC, Center for AI Safety Action Fund.
 
Public awareness remains the single biggest bottleneck in Al safety. Fortunately, the public's interest in Al safety is growing extremely quickly. Videos, articles, and social posts about Al safety are now reaching millions, and public curiosity is compounding by the week. Our growth depends on someone who shows up every day across platforms and actively works the comment sections, seeding the conversations that carry our ideas to the power-listeners and clippers who spread them.
 
We're hiring a Social & Community Manager to run CAIS's daily presence across platforms, and to build the community and conversations that move our ideas through the culture. You will report to the Head of Public Engagement."
Goodfire,research,greenhouse,api,5253331008,"Account Executive, Life Sciences","San Francisco, CA",GTM,https://job-boards.greenhouse.io/goodfire/jobs/5253331008,2026-06-09,2026-07-20T11:59:28Z,"About Goodfire Goodfire is a research company using interpretability to understand, learn from, and design AI systems. Our mission is to build the next generation of safe and powerful AI—not by scaling alone, but by understanding the intelligence we're building. Scaling has proven powerful, but today's approach is fundamentally limited: we can't meaningfully understand, debug, or shape what models learn. Every engineering discipline has been gated by fundamental science and AI is at that inflection point now. We're advancing the science of how AI systems actually work. Treating models as black boxes is an unnecessary handicap—we have access to the structures inside them, and understanding those structures lets us steer what models learn, make them safer and more useful, and extract the vast knowledge they contain. Our goal is to make AI that can be understood, debugged, and shaped like software. Goodfire is a public benefit corporation headquartered in San Francisco with a team of the world’s top interpretability researchers and engineers from organizations like OpenAI and DeepMind. We're backed by over $200M from B Capital, Menlo Ventures, Lightspeed, Eric Schmidt, and others. About the role We're looking for an Account Executive, Life Sciences to create and close strategic partnerships with the teams using AI to transform drug discovery, biology, clinical development, and the broader life sciences ecosystem. This role demands consultative selling ability, technical curiosity, and domain judgment: the ability to understand how life sciences organizations are building models and where Goodfire can create concrete value. This is a high-autonomy role where you will help define our Life Sciences go-to-market motion from the ground up. You will own strategic accounts end to end: identifying high-potential organizations, building relationships with technical and executive buyers, partnering with the Field Team to scope pilots, negotiating commercial terms, and expanding successful engagements into long-term partnerships. Our buyers are Heads of AI, CTOs, research leaders, and technical executives inside organizations trying to use frontier models in high-stakes scientific workflows. You'll need to be thoughtful, technically curious, direct, and credible enough to earn trust with people applying AI to some of the most complex problems in the world. Key responsibilities Own strategic Life Sciences sales cycles: build pipeline, run discovery, navigate technical and executive stakeholders, negotiate agreements, and close new partnerships Develop rigorous account strategy: identify where Goodfire can create value across pharma, biotech, research organizations, AI-native life sciences companies, and adjacent scientific teams Translate scientific and technical needs into commercial opportunities: understand customer workflows, model development challenges, validation requirements, and internal buying dynamics Partner with the Field Team: shape pilots, technical scopes, success criteria, and expansion paths that demonstrate real impact for life sciences customers Bring market signal back to the company: share customer needs, objections, competitive context, and emerging use cases with product, research, marketing, and leadership What you’ll bring Required experience Experience owning and closing complex sales cycles with technical, scientific, or research-oriented buyers. Strong discovery, commercial judgment, and ability to connect a technical product to a concrete customer problem. Ability to learn AI/ML and life sciences concepts quickly and communicate credibly with researchers, engineers, CTOs, Heads of AI, and scientific leaders. High agency, strong written and verbal communication, and comfort operating without a fully mature sales playbook. Preferred qualifications Experience selling AI/ML, data platforms, scientific software, infrastructure, developer tools, or enterprise products into life sciences organizations. Familiarity with pharma, biotech, computational biology, drug discovery, clinical development, or scientific research workflows. Experience as an early AE or founding GTM hire at a high-growth startup where you helped define the sales motion. Experience with land-and-expand motions involving pilots, technical validation, services, or platform adoption. Our values Goodfire is looking for individuals who embody our values and share our deep commitment to making interpretability accessible. We are building a team first and foremost. Put mission and team first All we do is in service of our mission. We trust each other, deeply care about the success of the organization, and choose to put our team above ourselves. Improve constantly We are constantly looking to improve every piece of the business. We proactively critique ourselves and others in a kind and thoughtful way that translates to practical improvements in the organization. We are pragmatic and consistently implement the obvious fixes that work. Take ownership and initiative There are no bystanders here. We proactively identify problems and take full responsibility over getting a strong result. We are self-driven, own our mistakes, and feel deep responsibility over what we’re building. Action today We have a small amount of time to do something incredibly hard and meaningful. The pace and intensity of the organization is high. If we can take action today or tomorrow, we will choose to do it today. Where we work We are hiring for this position in our San Francisco HQ. We are in person 5 days a week, with one company-wide remote week per month. What we offer This role offers market competitive salary, equity, and competitive benefits. Most importantly, you'll have the opportunity to join a vital mission at an important point in its trajectory — we are developing groundbreaking technology with a world-class team on the critical path to ensuring a safe and beneficial future for humanity. If you want to do your life’s work with us, even if you believe you do not meet every single requirement, apply now."
Goodfire,research,greenhouse,api,5282650008,"Account Executive, LLMs","San Francisco, CA",GTM,https://job-boards.greenhouse.io/goodfire/jobs/5282650008,2026-06-25,2026-07-20T11:59:28Z,"About Goodfire Goodfire is a research company using interpretability to understand, learn from, and design AI systems. Our mission is to build the next generation of safe and powerful AI—not by scaling alone, but by understanding the intelligence we're building. Scaling has proven powerful, but today's approach is fundamentally limited: we can't meaningfully understand, debug, or shape what models learn. Every engineering discipline has been gated by fundamental science and AI is at that inflection point now. We're advancing the science of how AI systems actually work. Treating models as black boxes is an unnecessary handicap—we have access to the structures inside them, and understanding those structures lets us steer what models learn, make them safer and more useful, and extract the vast knowledge they contain. Our goal is to make AI that can be understood, debugged, and shaped like software. Goodfire is a public benefit corporation headquartered in San Francisco with a team of the world’s top interpretability researchers and engineers from organizations like OpenAI and DeepMind. We're backed by over $200M from B Capital, Menlo Ventures, Lightspeed, Eric Schmidt, and others. About the role We're looking for an Account Executive to focus on the LLM market and close strategic partnerships across frontier labs, AI-native companies, and the broader tech domain. This role demands consultative selling ability, technical fluency, and strong market judgment: the ability to understand the language model landscape, build thoughtful account strategies, and identify where Goodfire can help customers build safer, more capable AI systems. This is a high-autonomy role where you will play a key role in defining our go-to-market motion for the Large Language Model market. You will own strategic accounts end to end: developing market-specific account plans, running discovery with deeply technical buyers, partnering with the Field Team to scope pilots, negotiating commercial terms, and expanding successful engagements across complex technical organizations. Our buyers are CTOs, Heads of AI, and research leaders. You'll need to be technically curious, precise, and credible enough to earn trust with technical teams. Key responsibilities Own strategic sales cycles: build pipeline, run discovery, navigate technical and executive stakeholders, negotiate agreements, and close new partnerships. Develop vertical account strategies: map the LLM market, identify the right wedge, and prioritize accounts where Goodfire can create meaningful value. Translate technical roadmaps into commercial opportunities: understand customer needs across model development, evaluation, safety, reliability, perception, planning, autonomy, and deployment. Partner with the Field Team: shape pilots, technical scopes, success criteria, and expansion paths that demonstrate real impact for customers. Build vertical-specific playbooks: test messaging, qualification criteria, deal structures, and repeatable sales motions What you’ll bring Required experience Experience owning and closing complex sales cycles with technical or research-oriented buyers. Strong discovery, commercial judgment, and ability to connect a technical product to a concrete customer problem. Ability to learn language models, reasoning systems, agentic workflows, and model evaluation concepts quickly and communicate credibly with engineers, researchers, CTOs, and Heads of AI. Ability to manage a complex technical sales motion while understanding customer workflows and success criteria. High agency, strong written and verbal communication, and comfort operating without a fully mature sales playbook Preferred qualifications Experience selling AI/ML, infrastructure, developer tools, data platforms, security, or other deeply technical products. Familiarity with language model development, reasoning systems, agentic workflows, model evaluation, or model deployment workflows. Track record selling to CTOs, Heads of AI, research leaders, ML platform teams, or technical executives Our values Goodfire is looking for individuals who embody our values and share our deep commitment to making interpretability accessible. We are building a team first and foremost. Put mission and team first All we do is in service of our mission. We trust each other, deeply care about the success of the organization, and choose to put our team above ourselves. Improve constantly We are constantly looking to improve every piece of the business. We proactively critique ourselves and others in a kind and thoughtful way that translates to practical improvements in the organization. We are pragmatic and consistently implement the obvious fixes that work. Take ownership and initiative There are no bystanders here. We proactively identify problems and take full responsibility over getting a strong result. We are self-driven, own our mistakes, and feel deep responsibility over what we’re building. Action today We have a small amount of time to do something incredibly hard and meaningful. The pace and intensity of the organization is high. If we can take action today or tomorrow, we will choose to do it today. Where we work We are hiring for this position in our San Francisco HQ. We are in person 5 days a week, with one company-wide remote week per month. What we offer This role offers market competitive salary, equity, and competitive benefits. Most importantly, you'll have the opportunity to join a vital mission at an important point in its trajectory — we are developing groundbreaking technology with a world-class team on the critical path to ensuring a safe and beneficial future for humanity. If you want to do your life’s work with us, even if you believe you do not meet every single requirement, apply now."
Goodfire,research,greenhouse,api,5283218008,"Account Executive, Robotics","San Francisco, CA",GTM,https://job-boards.greenhouse.io/goodfire/jobs/5283218008,2026-06-25,2026-07-20T11:59:28Z,"About Goodfire Goodfire is a research company using interpretability to understand, learn from, and design AI systems. Our mission is to build the next generation of safe and powerful AI—not by scaling alone, but by understanding the intelligence we're building. Scaling has proven powerful, but today's approach is fundamentally limited: we can't meaningfully understand, debug, or shape what models learn. Every engineering discipline has been gated by fundamental science and AI is at that inflection point now. We're advancing the science of how AI systems actually work. Treating models as black boxes is an unnecessary handicap—we have access to the structures inside them, and understanding those structures lets us steer what models learn, make them safer and more useful, and extract the vast knowledge they contain. Our goal is to make AI that can be understood, debugged, and shaped like software. Goodfire is a public benefit corporation headquartered in San Francisco with a team of the world’s top interpretability researchers and engineers from organizations like OpenAI and DeepMind. We're backed by over $200M from B Capital, Menlo Ventures, Lightspeed, Eric Schmidt, and others. About the role We're looking for an Account Executive to close strategic partnerships in Robotics and Vision. This role demands consultative selling ability, technical fluency, and strong market judgment: the ability to understand the robotics market, build thoughtful account strategies, and identify where Goodfire can help customers build safer, more capable AI systems. This is a high-autonomy role where you will help define our go-to-market motion for the Robotics and Vision vertical from the ground up. You will own strategic accounts end to end: developing account plans, running discovery with deeply technical buyers, partnering with the Field Team to scope pilots, negotiating commercial terms, and expanding successful engagements across complex technical organizations. Our buyers are CTOs, Heads of AI, and research leaders. You’ll need to be technically curious, precise, and credible enough to earn trust with technical teams. Key responsibilities Own strategic sales cycles: build pipeline, run discovery, navigate technical and executive stakeholders, negotiate agreements, and close new partnerships. Develop vertical account strategies: map the Robotics and Vision market, identify the right wedge, and prioritize accounts where Goodfire can create meaningful value. Translate technical roadmaps into commercial opportunities: understand customer needs across perception, planning, autonomy, computer vision, robotics, and deployment. Partner with the Field Team: shape pilots, technical scopes, success criteria, and expansion paths that demonstrate real impact for customers. Build vertical-specific playbooks: test messaging, qualification criteria, deal structures, and repeatable motions. What you’ll bring Required experience Experience owning and closing complex sales cycles with technical or research-oriented buyers. Strong discovery, commercial judgment, and ability to connect a technical product to a concrete customer problem. Ability to learn robotics, embodied AI, computer vision, reinforcement learning, autonomy, and deployment concepts quickly and communicate credibly with engineers, researchers, CTOs, and Heads of AI. Ability to manage a complex technical sales motion while understanding customer workflows and success criteria. High agency, strong written and verbal communication, and comfort operating without a fully mature sales playbook. Preferred qualifications Experience selling AI/ML, infrastructure, developer tools, data platforms, robotics, autonomy, security, or other deeply technical products. Familiarity with robotics, embodied AI, computer vision, reinforcement learning, simulation, autonomy, or model deployment workflows. Track record selling to CTOs, Heads of AI, research leaders, robotics teams, autonomy teams, ML platform teams, or technical executives. Our values Goodfire is looking for individuals who embody our values and share our deep commitment to making interpretability accessible. We are building a team first and foremost. Put mission and team first All we do is in service of our mission. We trust each other, deeply care about the success of the organization, and choose to put our team above ourselves. Improve constantly We are constantly looking to improve every piece of the business. We proactively critique ourselves and others in a kind and thoughtful way that translates to practical improvements in the organization. We are pragmatic and consistently implement the obvious fixes that work. Take ownership and initiative There are no bystanders here. We proactively identify problems and take full responsibility over getting a strong result. We are self-driven, own our mistakes, and feel deep responsibility over what we’re building. Action today We have a small amount of time to do something incredibly hard and meaningful. The pace and intensity of the organization is high. If we can take action today or tomorrow, we will choose to do it today. Where we work We are hiring for this position in our San Francisco HQ. We are in person 5 days a week, with one company-wide remote week per month. What we offer This role offers market competitive salary, equity, and competitive benefits. Most importantly, you'll have the opportunity to join a vital mission at an important point in its trajectory — we are developing groundbreaking technology with a world-class team on the critical path to ensuring a safe and beneficial future for humanity. If you want to do your life’s work with us, even if you believe you do not meet every single requirement, apply now."
